Car;Country;Date;Founder
Toyota;Япония;28 августа 1937 г.;Тоёда, Киитиро
Ford;Америка;16 июня 1903 г.;Генри Форд
Chevrolet;Америка;3 ноября 1911 г.;Луи Шевроле, Уильям Дюрант
Nissan;Япония;26 декабря 1933 г.;Масудзиро Хасимото
Hyundai;Корея;29 декабря 1967 г.;Чон Чжу-ён
KIA;Корея;9 июня 1957 г.;Чан Чжу Юн
Mercedes-Benz;Германия;28 июня 1926 г.;Карл Бенц
BMW;Германия;7 марта 1916 г.;Карл Фридрих Рапп
Opel;Германия;21 января 1862 г.;Адам Опель
Mazda;Япония;Январь 1920 г.;Дзудзиро Мацуда
Acura;Япония;1986 год;М. Аккавитти, Э. Беркмэн ..
Volkswagen;Германия;28 мая 1937 г.;Фердинанд Порше, Якоб Верлин
Citroen;Франция;1919 год;Андре Гюстав Ситроен
Volvo;Швеция;1927 год;Ассар Габриелссон, Густаф Ларсон
Skoda;Чехия;1895 год;Эмиль Шкода
Land Rover;Великобритания;1948 год;Сайрус Мистри, Ральф Спет 
Renault;Франция;25 февраля 1899 г.;Фернан, Луи, Марсель Рено
Honda;Япония;24 сентября 1948 г.;Соичиро Хонда
Datsun;Япония;1911 год;Карлос Гон, Винсент Кобе
Mitsubishi;Япония;13 мая 1870 г.;Ивасаки Ятаро
Audi;Германия;16 июля 1909 г.;Аугуст Хорьх
Jeep;США;1941 год;Серджио Маркионне, Майкл Мэнли
LADA;Россия;1966 год;Renault-Nissan
УАЗ;Россия;1992 год;Сергей Мусихин
Peugeot;Франция;1882 год;Арман Пежо
Daewoo;Корея;22 марта 1967 г.;Ким Ву Чун
SsangYong;Корея;1954 год;Hyung-Tak Choi
Lexus;Япония;1989 год;Эйдзи Тойода
Subaru;Япония;1954 год;Кэндзи Кита
Suzuki;Япония;Октябрь 1909 г.;Митио Судзуки
Infiniti;Япония;1989 год;Билл Брюс
Fiat;Италия;11 июля 1899 г.;Джованни Аньелли
Chery;Китай;1997 год;Инь Тунъяо
Haima;Китай;1988 год;
Lifan;Китай;1992 год;Инь Миншань
Brilliance;Китай;1992 год;
Geely;Китай;1986 год;Ли Шуфу
Great Wall;Китай;1976 год;Ван Фэнин
