Страна,Регион,Население
Aruba,Caribbean,103000
Afghanistan,"Southern and Central Asia",22720000
Angola,"Central Africa",12878000
Anguilla,Caribbean,8000
Albania,"Southern Europe",3401200
Andorra,"Southern Europe",78000
"Netherlands Antilles",Caribbean,217000
"United Arab Emirates","Middle East",2441000
Argentina,"South America",37032000
Armenia,"Middle East",3520000
"American Samoa",Polynesia,68000
Antarctica,Antarctica,0
"French Southern territories",Antarctica,0
"Antigua and Barbuda",Caribbean,68000
Australia,"Australia and New Zealand",18886000
Austria,"Western Europe",8091800
Azerbaijan,"Middle East",7734000
Burundi,"Eastern Africa",6695000
Belgium,"Western Europe",10239000
Benin,"Western Africa",6097000
"Burkina Faso","Western Africa",11937000
Bangladesh,"Southern and Central Asia",129155000
Bulgaria,"Eastern Europe",8190900
Bahrain,"Middle East",617000
Bahamas,Caribbean,307000
"Bosnia and Herzegovina","Southern Europe",3972000
Belarus,"Eastern Europe",10236000
Belize,"Central America",241000
Bermuda,"North America",65000
Bolivia,"South America",8329000
Brazil,"South America",170115000
Barbados,Caribbean,270000
Brunei,"Southeast Asia",328000
Bhutan,"Southern and Central Asia",2124000
"Bouvet Island",Antarctica,0
Botswana,"Southern Africa",1622000
"Central African Republic","Central Africa",3615000
Canada,"North America",31147000
"Cocos (Keeling) Islands","Australia and New Zealand",600
Switzerland,"Western Europe",7160400
Chile,"South America",15211000
China,"Eastern Asia",1277558000
"Côte d’Ivoire","Western Africa",14786000
Cameroon,"Central Africa",15085000
"Congo, The Democratic Republic of the","Central Africa",51654000
Congo,"Central Africa",2943000
"Cook Islands",Polynesia,20000
Colombia,"South America",42321000
Comoros,"Eastern Africa",578000
"Cape Verde","Western Africa",428000
"Costa Rica","Central America",4023000
Cuba,Caribbean,11201000
"Christmas Island","Australia and New Zealand",2500
"Cayman Islands",Caribbean,38000
Cyprus,"Middle East",754700
"Czech Republic","Eastern Europe",10278100
Germany,"Western Europe",82164700
Djibouti,"Eastern Africa",638000
Dominica,Caribbean,71000
Denmark,"Nordic Countries",5330000
"Dominican Republic",Caribbean,8495000
Algeria,"Northern Africa",31471000
Ecuador,"South America",12646000
Egypt,"Northern Africa",68470000
Eritrea,"Eastern Africa",3850000
"Western Sahara","Northern Africa",293000
Spain,"Southern Europe",39441700
Estonia,"Baltic Countries",1439200
Ethiopia,"Eastern Africa",62565000
Finland,"Nordic Countries",5171300
"Fiji Islands",Melanesia,817000
"Falkland Islands","South America",2000
France,"Western Europe",59225700
"Faroe Islands","Nordic Countries",43000
"Micronesia, Federated States of",Micronesia,119000
Gabon,"Central Africa",1226000
"United Kingdom","British Islands",59623400
Georgia,"Middle East",4968000
Ghana,"Western Africa",20212000
Gibraltar,"Southern Europe",25000
Guinea,"Western Africa",7430000
Guadeloupe,Caribbean,456000
Gambia,"Western Africa",1305000
Guinea-Bissau,"Western Africa",1213000
"Equatorial Guinea","Central Africa",453000
Greece,"Southern Europe",10545700
Grenada,Caribbean,94000
Greenland,"North America",56000
Guatemala,"Central America",11385000
"French Guiana","South America",181000
Guam,Micronesia,168000
Guyana,"South America",861000
"Hong Kong","Eastern Asia",6782000
"Heard Island and McDonald Islands",Antarctica,0
Honduras,"Central America",6485000
Croatia,"Southern Europe",4473000
Haiti,Caribbean,8222000
Hungary,"Eastern Europe",10043200
Indonesia,"Southeast Asia",212107000
India,"Southern and Central Asia",1013662000
"British Indian Ocean Territory","Eastern Africa",0
Ireland,"British Islands",3775100
Iran,"Southern and Central Asia",67702000
Iraq,"Middle East",23115000
Iceland,"Nordic Countries",279000
Israel,"Middle East",6217000
Italy,"Southern Europe",57680000
Jamaica,Caribbean,2583000
Jordan,"Middle East",5083000
Japan,"Eastern Asia",126714000
Kazakstan,"Southern and Central Asia",16223000
Kenya,"Eastern Africa",30080000
Kyrgyzstan,"Southern and Central Asia",4699000
Cambodia,"Southeast Asia",11168000
Kiribati,Micronesia,83000
"Saint Kitts and Nevis",Caribbean,38000
"South Korea","Eastern Asia",46844000
Kuwait,"Middle East",1972000
Laos,"Southeast Asia",5433000
Lebanon,"Middle East",3282000
Liberia,"Western Africa",3154000
"Libyan Arab Jamahiriya","Northern Africa",5605000
"Saint Lucia",Caribbean,154000
Liechtenstein,"Western Europe",32300
"Sri Lanka","Southern and Central Asia",18827000
Lesotho,"Southern Africa",2153000
Lithuania,"Baltic Countries",3698500
Luxembourg,"Western Europe",435700
Latvia,"Baltic Countries",2424200
Macao,"Eastern Asia",473000
Morocco,"Northern Africa",28351000
Monaco,"Western Europe",34000
Moldova,"Eastern Europe",4380000
Madagascar,"Eastern Africa",15942000
Maldives,"Southern and Central Asia",286000
Mexico,"Central America",98881000
"Marshall Islands",Micronesia,64000
Macedonia,"Southern Europe",2024000
Mali,"Western Africa",11234000
Malta,"Southern Europe",380200
Myanmar,"Southeast Asia",45611000
Mongolia,"Eastern Asia",2662000
"Northern Mariana Islands",Micronesia,78000
Mozambique,"Eastern Africa",19680000
Mauritania,"Western Africa",2670000
Montserrat,Caribbean,11000
Martinique,Caribbean,395000
Mauritius,"Eastern Africa",1158000
Malawi,"Eastern Africa",10925000
Malaysia,"Southeast Asia",22244000
Mayotte,"Eastern Africa",149000
Namibia,"Southern Africa",1726000
"New Caledonia",Melanesia,214000
Niger,"Western Africa",10730000
"Norfolk Island","Australia and New Zealand",2000
Nigeria,"Western Africa",111506000
Nicaragua,"Central America",5074000
Niue,Polynesia,2000
Netherlands,"Western Europe",15864000
Norway,"Nordic Countries",4478500
Nepal,"Southern and Central Asia",23930000
Nauru,Micronesia,12000
"New Zealand","Australia and New Zealand",3862000
Oman,"Middle East",2542000
Pakistan,"Southern and Central Asia",156483000
Panama,"Central America",2856000
Pitcairn,Polynesia,50
Peru,"South America",25662000
Philippines,"Southeast Asia",75967000
Palau,Micronesia,19000
"Papua New Guinea",Melanesia,4807000
Poland,"Eastern Europe",38653600
"Puerto Rico",Caribbean,3869000
"North Korea","Eastern Asia",24039000
Portugal,"Southern Europe",9997600
Paraguay,"South America",5496000
Palestine,"Middle East",3101000
"French Polynesia",Polynesia,235000
Qatar,"Middle East",599000
Réunion,"Eastern Africa",699000
Romania,"Eastern Europe",22455500
"Russian Federation","Eastern Europe",146934000
Rwanda,"Eastern Africa",7733000
"Saudi Arabia","Middle East",21607000
Sudan,"Northern Africa",29490000
Senegal,"Western Africa",9481000
Singapore,"Southeast Asia",3567000
"South Georgia and the South Sandwich Islands",Antarctica,0
"Saint Helena","Western Africa",6000
"Svalbard and Jan Mayen","Nordic Countries",3200
"Solomon Islands",Melanesia,444000
"Sierra Leone","Western Africa",4854000
"El Salvador","Central America",6276000
"San Marino","Southern Europe",27000
Somalia,"Eastern Africa",10097000
"Saint Pierre and Miquelon","North America",7000
"Sao Tome and Principe","Central Africa",147000
Suriname,"South America",417000
Slovakia,"Eastern Europe",5398700
